事業者,物件名,都道府県,住所,収容台数,時間帯料金(生),最大料金(生),営業時間,満空,緯度,経度,取得日時,URL
三井のリパーク,三井のリパーク仙台榴岡４丁目第７駐車場,宮城県,宮城県仙台市宮城野区榴岡４丁目４ー２,6,07:00-20:00 15分200円 ; 20:00-07:00 30分200円 ; 07:00-20:00 15分200円 ; 20:00-07:00 30分200円,月～金 20:00～7:00以内 600円 ; 土日祝 7:00～20:00以内 1500円 ; 土日祝 20:00～7:00以内 600円,24時間,,38.258754088228,140.88705381253,2026-07-02T10:19:39.397Z,https://www.repark.jp/parking_user/time/result/detail/?park=REP0027388
三井のリパーク,三井のリパーク八王子東町第２駐車場,東京都,東京都八王子市東町１０ー１２,5,00:00-24:00 10分250円,全日 1.2.3番車室　入庫後4時間以内 1300円 ; 全日 4.5番車室　入庫後12時間以内 1900円,24時間,,35.658396847819,139.33883268489,2026-07-11T13:05:51.752Z,https://www.repark.jp/parking_user/time/result/detail/?park=REP0027389
三井のリパーク,三井のリパーク恵我ノ荘駅前駐車場,大阪府,大阪府羽曳野市南恵我之荘８丁目１ー８,12,00:00-24:00 20分100円,全日 入庫後24時間以内 650円,24時間,,34.573072150276,135.57268154699,2026-07-02T10:19:39.397Z,https://www.repark.jp/parking_user/time/result/detail/?park=REP0027392
三井のリパーク,三井のリパーク若水３丁目第２駐車場,愛知県,愛知県名古屋市千種区若水３丁目１０ー２０,10,08:00-18:00 60分220円 ; 18:00-08:00 60分220円,全日 18:00～8:00以内 300円 ; 全日 入庫後24時間以内 600円,24時間,,35.176328867441,136.94781456543,2026-07-02T10:19:39.397Z,https://www.repark.jp/parking_user/time/result/detail/?park=REP0027393
三井のリパーク,三井のリパーク札幌南１西１４第３駐車場,北海道,北海道札幌市中央区南一条西１４丁目１－２３４,19,08:00-20:00 15分330円 ; 20:00-08:00 60分200円 ; 08:00-20:00 15分330円 ; 20:00-08:00 60分200円,月～土 入庫後24時間以内 1900円 ; 日祝 入庫後24時間以内 1100円,24時間,,43.057248684033,141.33622611011,2026-07-02T10:19:39.397Z,https://www.repark.jp/parking_user/time/result/detail/?park=REP0027394
三井のリパーク,三井のリパーク新町３丁目第５駐車場,大阪府,大阪府大阪市西区新町３丁目９ー５,6,07:00-20:00 10分220円 ; 20:00-07:00 60分110円 ; 07:00-20:00 30分220円 ; 20:00-07:00 60分110円,月～土 入庫後24時間以内 2200円 ; 日祝 入庫後24時間以内 1000円,24時間,,34.67788171164,135.4896613926,2026-07-25T13:11:25.476Z,https://www.repark.jp/parking_user/time/result/detail/?park=REP0027395
三井のリパーク,三井のリパーク高槻北園町第４駐車場,大阪府,大阪府高槻市北園町４ー１０,20,08:00-20:00 20分220円 ; 20:00-08:00 60分220円 ; 08:00-20:00 20分220円 ; 20:00-08:00 60分220円,月～土 入庫後24時間以内 1300円 ; 日祝 入庫後24時間以内 600円,24時間,,34.852854231963,135.62399773518,2026-07-02T10:19:39.397Z,https://www.repark.jp/parking_user/time/result/detail/?park=REP0027396
三井のリパーク,三井のリパーク塩川ビーチ前駐車場駐車場,沖縄県,沖縄県国頭郡本部町字崎本部２５８３,35,00:00-24:00 60分200円,全日 入庫当日24時まで 1000円,24時間,,26.619760365609,127.89097620913,2026-07-02T10:19:39.397Z,https://www.repark.jp/parking_user/time/result/detail/?park=REP0027397
三井のリパーク,三井のリパーク豊橋新本町第２駐車場,愛知県,愛知県豊橋市新本町４６,4,08:00-18:00 40分220円 ; 18:00-08:00 40分220円,全日 8:00～18:00以内 600円 ; 全日 18:00～8:00以内 600円,24時間,,34.766969228478,137.38787464552,2026-07-02T10:19:39.397Z,https://www.repark.jp/parking_user/time/result/detail/?park=REP0027398
三井のリパーク,三井のリパーク新木場駅前第３駐車場,東京都,東京都江東区新木場１丁目６ー８,27,06:00-18:00 20分220円 ; 18:00-06:00 20分220円,全日 6:00～18:00以内 1500円 ; 全日 18:00～6:00以内 500円,24時間,,35.645645653061,139.82845372045,2026-07-02T10:19:39.397Z,https://www.repark.jp/parking_user/time/result/detail/?park=REP0027399
